rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
35,All Gone (Seasons),Gustavo Santaolalla,[],The Last of Us - Vol. 2 (Video Game Soundtrack),2014-02-07,2014,"[""['argentine ambient'"",""'latin classical'"",""'latin soundtrack'"",""'orchestral soundtrack'"",""'soundtrack']""]","[""und""]",,,,The Last of Us,,,spotify_popularity,45.0,score_0_100,,,,15.749999999999998,6hr6UGGnxSPT9964fosiX3,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""The Last of Us"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":24,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
36,"It's Pronounced ""Rules""",Toby Fox,[],DELTARUNE Chapter 2 (Original Game Soundtrack),2021-09-17,2021,"[""['indie game soundtrack'"",""'otacore'"",""'pixel']""]","[""und""]",,,,DELTARUNE Chapter 2,,,spotify_popularity,45.0,score_0_100,,,,15.749999999999998,6zOVVoWfAnRMj5XfcvUoyF,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""DELTARUNE Chapter 2"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":25,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
37,Wandering in Peaceful Island (From Genshin Impact Golden Apple Archipelago Game),Beside Bed,[],Genshin Impact - Golden Apple Archipelago,2021-06-22,2021,"[""['japanese vgm']""]","[""und""]",,,,Genshin Impact Golden Apple Archipelago Game,,,spotify_popularity,45.0,score_0_100,,,,15.749999999999998,6kdELfPoIhJSaKoMAkY9QS,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Genshin Impact Golden Apple Archipelago Game"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":136,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""explicit_track_reference""}"
38,Elogia Cinerosa,HOYO-MiX,[],"Genshin Impact - The Shimmering Voyage, Vol. 2 (Original Game Soundtrack)",2022-08-15,2022,"[""['japanese vgm']""]","[""und""]",,,,Genshin Impact,,,spotify_popularity,45.0,score_0_100,,,,15.749999999999998,20nGaeXt8tv7iAQvLVa7gJ,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Genshin Impact"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":165,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""official_soundtrack_album""}"
39,Distant Banjo,ConcernedApe,[],Stardew Valley (Original Game Soundtrack),2016-09-19,2016,"[""['indie game soundtrack']""]","[""und""]",,,,Stardew Valley,,,spotify_popularity,45.0,score_0_100,,,,15.749999999999998,1GgIIJIJibtXZ5vG8lfTe2,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Stardew Valley"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":166,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""official_soundtrack_album""}"
40,The Hunter,SIE Sound Team,[],Bloodborne Original Soundtrack,2015-04-22,2015,"[""['japanese vgm'"",""'sound team'"",""'video game music']""]","[""und""]",,,,Bloodborne,,,spotify_popularity,45.0,score_0_100,,,,15.749999999999998,43btusOZsaG2dHvgDQlWGy,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Bloodborne"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":303,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""genre_album""}"
41,FFVII REMAKE: 闘う者達 -元ソルジャー- (Let the Battles Begin! - Ex-SOLDIER),Nobuo Uematsu,[],FINAL FANTASY VII REMAKE Original Soundtrack,2020-05-27,2020,"[""['chiptune'"",""'japanese classical'"",""'japanese vgm'"",""'orchestral soundtrack'"",""'video game music']""]","[""und""]",,,,FINAL FANTASY VII REMAKE,,,spotify_popularity,45.0,score_0_100,,,,15.749999999999998,5xjeEiMrFzQ6HTXOTFuRA7,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""FINAL FANTASY VII REMAKE"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":304,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""genre_album""}"
42,Graceful Serenity,Jarren Crist,[],Lost in Vivo (Original Game Soundtrack),2018-10-20,2018,"[""['liminal space']""]","[""und""]",,,,Lost in Vivo,,,spotify_popularity,44.0,score_0_100,,,,15.399999999999999,0vxZgI9aBz4to8vdECMZUe,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Lost in Vivo"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":26,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
43,Dream of Scattered Petals,Yu-Peng Chen,[],Genshin Impact - Realm of Tranquil Eternity (Original Game Soundtrack),2021-09-22,2021,"[""['japanese vgm']""]","[""und""]",,,,Genshin Impact - Realm of Tranquil Eternity,,,spotify_popularity,44.0,score_0_100,,,,15.399999999999999,4Iq7C61MCBPIUlfmYEaPrE,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Genshin Impact - Realm of Tranquil Eternity"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":27,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
44,Crypteque,Danny Baranowsky,[],Crypt of the Necrodancer (Original Game Soundtrack),2015-04-28,2015,"[""['indie game soundtrack'"",""'video game music']""]","[""und""]",,,,Crypt of the Necrodancer,,,spotify_popularity,44.0,score_0_100,,,,15.399999999999999,0wydxbEaB3KSKJstJVhTG5,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Crypt of the Necrodancer"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":28,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
45,Bloodlust,Jeremy Soule,[],The Elder Scrolls IV: Oblivion: Original Game Soundtrack,2006-03-20,2006,"[""['orchestral soundtrack'"",""'scorecore'"",""'video game music']""]","[""und""]",,,,The Elder Scrolls IV: Oblivion,,,spotify_popularity,44.0,score_0_100,,,,15.399999999999999,5F6mNTPxGqCZMbRhs3mfRq,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""The Elder Scrolls IV: Oblivion"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":167,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""official_soundtrack_album""}"
46,Another Hopeful Tomorrow,Yu-Peng Chen,[],Genshin Impact - Jade Moon Upon a Sea of Clouds (Original Game Soundtrack),2020-11-06,2020,"[""['japanese vgm']""]","[""und""]",,,,Genshin Impact - Jade Moon Upon a Sea of Clouds,,,spotify_popularity,44.0,score_0_100,,,,15.399999999999999,2mrb4EhwdH1pcYUCPR73oa,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Genshin Impact - Jade Moon Upon a Sea of Clouds"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":168,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""official_soundtrack_album""}"
47,Echos (Sebastian's Theme),ConcernedApe,[],Stardew Valley (Original Game Soundtrack),2016-09-19,2016,"[""['indie game soundtrack']""]","[""und""]",,,,Stardew Valley,,,spotify_popularity,44.0,score_0_100,,,,15.399999999999999,6QDcYUKMXrwd43sZnp9wzW,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Stardew Valley"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":169,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""official_soundtrack_album""}"
48,Boss2,Re-Logic,[],Terraria (Soundtrack),2011-11-01,2011,"[""['video game music']""]","[""und""]",,,,Terraria,,,spotify_popularity,44.0,score_0_100,,,,15.399999999999999,0WEB1SRHuUK56JlAoqSyMo,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Terraria"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":305,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""genre_album""}"
49,Wushu Dolls,Marcin Przybyłowicz,[],Cyberpunk 2077 - Original Score,2020-12-11,2020,"[""['orchestral soundtrack'"",""'video game music']""]","[""und""]",,,,Cyberpunk 2077,,,spotify_popularity,44.0,score_0_100,,,,15.399999999999999,1hCilpYIilwTNZ56nowxX1,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Cyberpunk 2077"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":306,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""genre_album""}"
