rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
144153,KAITOがラップで新年の挨拶,Mitchie M,"[""KAITO""]",,2023-12-31T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,21706.0,views,,,21706,,,,,https://www.youtube.com/watch?v=Ti_DAmw0350,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":574908,""vocadb_url"":""https://vocadb.net/S/574908"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":16,""youtube_video_id"":""Ti_DAmw0350"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Mitchie M"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":21706,""official_youtube_pvs"":[{""video_id"":""Ti_DAmw0350"",""views"":21706,""author"":""Mitchie M"",""url"":""https://youtu.be/Ti_DAmw0350""}],""highest_individual_official_pv_views"":21706,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""Mitchie M""],""voice_synth_vocalists"":[""KAITO""],""voice_synth_types"":{""KAITO"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""Mitchie M"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":624},{""name"":""KAITO"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":71}]}"
144154,神和ぎ,mitsuki,"[""可不""]",,2024-02-22T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,21705.0,views,,,21705,,,,,https://www.youtube.com/watch?v=GJU4hQ2Wx8w,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":593385,""vocadb_url"":""https://vocadb.net/S/593385"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""GJU4hQ2Wx8w"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""MoSaicPaleTTe"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":21705,""official_youtube_pvs"":[{""video_id"":""GJU4hQ2Wx8w"",""views"":21705,""author"":""MoSaicPaleTTe"",""url"":""https://youtu.be/GJU4hQ2Wx8w""}],""highest_individual_official_pv_views"":21705,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""mitsuki""],""voice_synth_vocalists"":[""可不""],""voice_synth_types"":{""可不"":""cevio""},""all_vocadb_artist_credits"":[{""name"":""mitsuki"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":72203},{""name"":""可不"",""artist_type"":""CeVIO"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":83928},{""name"":""MoSaicPaleTTe"",""artist_type"":""OtherGroup"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":72201},{""name"":""しぐれ"",""artist_type"":""Illustrator"",""roles"":[""animator"",""illustrator""],""is_support"":false,""vocadb_artist_id"":111783}]}"
144155,ボーカロイダー,いえぬ,"[""初音ミク""]",,2022-11-06T00:00:00Z,2022,[],"[""und""]",,,,,,,youtube_views,21704.0,views,,,21704,,,,,https://www.youtube.com/watch?v=TUbEH0F6qrQ,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":452142,""vocadb_url"":""https://vocadb.net/S/452142"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":14,""youtube_video_id"":""TUbEH0F6qrQ"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""いえぬ / ienu"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":21704,""official_youtube_pvs"":[{""video_id"":""TUbEH0F6qrQ"",""views"":21704,""author"":""いえぬ / ienu"",""url"":""https://youtu.be/TUbEH0F6qrQ""}],""highest_individual_official_pv_views"":21704,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""いえぬ""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""いえぬ"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":111348}]}"
144156,私ずっと聴いてたんだ,yuha,"[""知声""]",,2023-02-24T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,21700.0,views,,,21700,,,,,https://www.youtube.com/watch?v=HQZLigwmj0M,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":759631,""vocadb_url"":""https://vocadb.net/S/759631"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""HQZLigwmj0M"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""yuha - Topic"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":21700,""official_youtube_pvs"":[{""video_id"":""HQZLigwmj0M"",""views"":21700,""author"":""yuha - Topic"",""url"":""https://youtu.be/HQZLigwmj0M""}],""highest_individual_official_pv_views"":21700,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""yuha""],""voice_synth_vocalists"":[""知声""],""voice_synth_types"":{""知声"":""voisona""},""all_vocadb_artist_credits"":[{""name"":""yuha"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":102541},{""name"":""知声"",""artist_type"":""VoiSona"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":99757}]}"
144157,건널목 가오리,헛둘,"[""UNI"",""몌""]",,2017-02-21T00:00:00Z,2017,[],"[""und""]",,,,,,,youtube_views,21697.0,views,,,21697,,,,,https://www.youtube.com/watch?v=pYFQ_1vNUOU,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":150670,""vocadb_url"":""https://vocadb.net/S/150670"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":9,""youtube_video_id"":""pYFQ_1vNUOU"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""STMEDiA Official (UNI Official)"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":21697,""official_youtube_pvs"":[{""video_id"":""pYFQ_1vNUOU"",""views"":21697,""author"":""STMEDiA Official (UNI Official)"",""url"":""https://youtu.be/pYFQ_1vNUOU""}],""highest_individual_official_pv_views"":21697,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""헛둘"",""몌""],""voice_synth_vocalists"":[""UNI""],""voice_synth_types"":{""UNI"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""UNI"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":28174},{""name"":""헛둘"",""artist_type"":""Producer"",""roles"":[""animator"",""composer"",""lyricist""],""is_support"":false,""vocadb_artist_id"":57170},{""name"":""풍님"",""artist_type"":null,""roles"":[""other""],""is_support"":false,""vocadb_artist_id"":null},{""name"":""몌"",""artist_type"":""Producer"",""roles"":[""composer""],""is_support"":false,""vocadb_artist_id"":57171}]}"
144158,Chicken LINE (チキンLINE),SKE48,[],,,,[],"[""und""]",,PriPara Movie: Mi~nna no Akogare♪ Let's Go☆Prix Paris,904,,,,myanimelist_members_snapshot,904.0,users,,,,,,,,https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250,2026-09-12,"No trustworthy song-level listen/view count found; MyAnimeList member count from the bundled snapshot is explicitly an anime-popularity proxy, not song listens.","{""theme_type"":""ED"",""theme_sequence"":1,""selection_method"":""theme_order_fallback"",""anilist_id"":null,""mal_id"":31919,""anime_popularity_rank"":8479,""anime_popularity_source"":""myanimelist_members_snapshot"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250""}"
144159,イロアワセ,かしこ。,"[""初音ミク""]",,2022-12-21T00:00:00Z,2022,[],"[""und""]",,,,,,,youtube_views,21695.0,views,,,21695,,,,,https://www.youtube.com/watch?v=Rv4R3rBuip8,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":460380,""vocadb_url"":""https://vocadb.net/S/460380"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":5,""youtube_video_id"":""Rv4R3rBuip8"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""かしこ。/ Kashiko. Official"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":21695,""official_youtube_pvs"":[{""video_id"":""Rv4R3rBuip8"",""views"":21695,""author"":""かしこ。/ Kashiko. Official"",""url"":""https://youtu.be/Rv4R3rBuip8""}],""highest_individual_official_pv_views"":21695,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""かしこ。""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""かしこ。"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":36197},{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1}]}"
144160,画面の向こうのあなた,デッドボールP,"[""初音ミク""]",,2008-03-13T00:00:00Z,2008,[],"[""und""]",,,,,,,youtube_views,21695.0,views,,,21695,,,,,https://www.youtube.com/watch?v=77aoVqhziVA,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":17304,""vocadb_url"":""https://vocadb.net/S/17304"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":84,""youtube_video_id"":""77aoVqhziVA"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""DeadballP - Topic"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":21695,""official_youtube_pvs"":[{""video_id"":""77aoVqhziVA"",""views"":21695,""author"":""DeadballP - Topic"",""url"":""https://youtu.be/77aoVqhziVA""}],""highest_individual_official_pv_views"":21695,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""デッドボールP""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""デッドボールP"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":18},{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1}]}"
144161,いつかかならず,テクノスピーチ,"[""さとうささら (CeVIO AI)"",""IA English (CeVIO AI)"",""多田彰文""]",,2019-04-16T00:00:00Z,2019,[],"[""und""]",,,,,,,youtube_views,21693.0,views,,,21693,,,,,https://www.youtube.com/watch?v=xRknlXIHkmI,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":363221,""vocadb_url"":""https://vocadb.net/S/363221"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":3,""youtube_video_id"":""xRknlXIHkmI"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""藤本健"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":21693,""official_youtube_pvs"":[{""video_id"":""xRknlXIHkmI"",""views"":21693,""author"":""藤本健"",""url"":""https://youtu.be/xRknlXIHkmI""}],""highest_individual_official_pv_views"":21693,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""テクノスピーチ"",""多田彰文""],""voice_synth_vocalists"":[""さとうささら (CeVIO AI)"",""IA English (CeVIO AI)""],""voice_synth_types"":{""さとうささら (CeVIO AI)"":""cevio"",""IA English (CeVIO AI)"":""cevio""},""all_vocadb_artist_credits"":[{""name"":""さとうささら (CeVIO AI)"",""artist_type"":""CeVIO"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":92272},{""name"":""IA English (CeVIO AI)"",""artist_type"":""CeVIO"",""roles"":[""default""],""is_support"":true,""vocadb_artist_id"":95863},{""name"":""多田彰文"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":41652},{""name"":""テクノスピーチ"",""artist_type"":""OtherGroup"",""roles"":[""voicemanipulator""],""is_support"":false,""vocadb_artist_id"":84883},{""name"":""DTMステーションCreative"",""artist_type"":""Label"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":95985},{""name"":""髙栁兆伸"",""artist_type"":null,""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":null}]}"
144162,ブルーアイズ銀河エクスプレス,tsuyopon tsuyoshi,"[""kokone""]",,2016-02-21T00:00:00Z,2016,[],"[""und""]",,,,,,,youtube_views,21688.0,views,,,21688,,,,,https://www.youtube.com/watch?v=vukZzyA9xxM,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":844040,""vocadb_url"":""https://vocadb.net/S/844040"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""vukZzyA9xxM"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Original BGM&ボカロ チャンネル tsuyopon"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":21688,""official_youtube_pvs"":[{""video_id"":""vukZzyA9xxM"",""views"":21688,""author"":""Original BGM&ボカロ チャンネル tsuyopon"",""url"":""https://youtu.be/vukZzyA9xxM""}],""highest_individual_official_pv_views"":21688,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""tsuyopon tsuyoshi""],""voice_synth_vocalists"":[""kokone""],""voice_synth_types"":{""kokone"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""kokone"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":16545},{""name"":""tsuyopon tsuyoshi"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":41576}]}"
