rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
11,PJ Masks Theme Song,PJ Masks,[],,2017-03-10,2017,"[""children""]","[""und""]",,,,,,,spotify_popularity,66.0,score_0_100,,,,23.099999999999998,7eKpWdTDReOTNn1mXPyuzf,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
12,The Wheels on the Bus,The Little Sunshine Kids,[],100 Fun Songs for Kids Vol. 1,,,"[""children""]","[""und""]",,,,,,,spotify_popularity,66.0,score_0_100,,,,23.099999999999998,6tPA07JAS9p9mEOVhLdFJp,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
13,Rock-a-Bye Baby,CoComelon,[],"CoComelon Kids Hits, Vol. 2",2020-01-24,2020,"[""[\""children's music\"""",""'nursery'"",""\""preschool children's music\""]"",""children""]","[""und""]",,,,,,,spotify_popularity,66.0,score_0_100,,,,23.099999999999998,7ulJ8EEiOnJFRqkXwPds05,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""[\""children's music\"""",""'nursery'"",""\""preschool children's music\""]"",""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
14,Itsy Bitsy Spider,Kai Francis,[],Itsy Bitsy Spider,2021-10-25,2021,"[""['instrumental lullaby']""]","[""und""]",,,,,,,spotify_popularity,66.0,score_0_100,,,,23.099999999999998,2Tp0gVMGxB3s23g8dScJes,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""['instrumental lullaby']""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
15,Edelweiss,Ludovico Sagese,[],Edelweiss,2020-02-14,2020,"[""['instrumental lullaby']""]","[""und""]",,,,,,,spotify_popularity,65.0,score_0_100,,,,22.75,4SMp3hkQV64IoaaKsBQoBo,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""['instrumental lullaby']""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
16,Ma Belle Evangeline,Jim Cummings,[],The Princess and the Frog (Original Motion Picture Soundtrack),,,"[""disney"",""children""]","[""und""]",,,,,,,spotify_popularity,65.0,score_0_100,,,,22.75,5d22scOOfbrK7GHy3ZTT3s,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""disney"",""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
17,5 Little Monkeys,The Little Sunshine Kids,[],100 Fun Songs for Kids Vol. 1,,,"[""children""]","[""und""]",,,,,,,spotify_popularity,65.0,score_0_100,,,,22.75,1rNgLcVhVTTKKmHBH8nQlt,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
18,Cupid Shuffle,Cupid,[],,2007-09-11,2007,"[""party"",""kids""]","[""und""]",,,,,,,spotify_popularity,65.0,score_0_100,,,,22.75,4k9A3Aoo4RoFNmvQSNjdvg,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""party"",""kids""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
19,The Party Freeze Song,The Kiboomers,[],,2009-05-01,2009,"[""children""]","[""und""]",,,,,,,spotify_popularity,64.0,score_0_100,,,,22.4,7gecT24P3zqY4SXWjssq9B,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
20,Head Shoulder Knees and Toes,CoComelon,[],CoComelon Essentials,,,"[""children""]","[""und""]",,,,,,,spotify_popularity,64.0,score_0_100,,,,22.4,6xfOJl9l0Gc5WxjmBAvQsA,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
