rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
11,again,YUI,[],,2012-12-05,2010,"[""j-pop""]","[""und""]",,Fullmetal Alchemist: Brotherhood,727973,,,,spotify_popularity,67.0,score_0_100,,,,16.75,7EUSByOz1UUx78lLDxfxRQ,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":5114,""mal_id"":5114,""anime_popularity_rank"":11,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/fullmetal_alchemist_brotherhood"",""catalog_sources"":""spotify_114k|spotify_600k_historical""}"
12,GO!!!,FLOW,[],,2003,2003,"[""anime"",""j-pop""]","[""und""]",,Naruto,724752,,,,spotify_popularity,64.0,score_0_100,,,,16.0,66BfcocNwMJEwugiiEnLNM,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":4,""selection_method"":""exact_title_artist"",""anilist_id"":20,""mal_id"":20,""anime_popularity_rank"":12,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/naruto"",""catalog_sources"":""spotify_600k_historical|spotify_114k""}"
13,crossing field,LiSA,[],LANDSPACE,2013-10-30,2013,"[""anime"",""anime rock"",""j-pixie"",""j-pop"",""j-rock""]","[""und""]",,Sword Art Online,718743,,,,spotify_popularity,74.0,score_0_100,,,,18.5,5RsRhryZD9FdTmxsAaZ2mM,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":11757,""mal_id"":11757,""anime_popularity_rank"":13,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/sword_art_online"",""catalog_sources"":""spotify_zenodo_0_9m|spotify_600k_historical|spotify_2025_0_9m_features|spotify_114k""}"
14,My Generation (マイ・ジェネレーション),The Who,[],,,,[],"[""und""]",,A Silent Voice,715844,,,,anime_popularity_proxy,715844.0,anilist_users,,,,,,,,https://anilist.co/,2026-09-12,"No trustworthy song-level listen/view count found; AniList anime popularity is explicitly a proxy, not song listens.","{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""theme_order_fallback"",""anilist_id"":20954,""mal_id"":28851,""anime_popularity_rank"":14,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250""}"
15,Yume Tourou,RADWIMPS,[],,,,[],"[""und""]",,Your Name.,713833,,,,anime_popularity_proxy,713833.0,anilist_users,,,,,,,,https://anilist.co/,2026-09-12,"No trustworthy song-level listen/view count found; AniList anime popularity is explicitly a proxy, not song listens.","{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""theme_order_fallback"",""anilist_id"":21519,""mal_id"":32281,""anime_popularity_rank"":15,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/kimi_no_na_wa""}"
16,Red Swan,Yoshiki,"[""HYDE""]",,2018-10-03,2018,"[""j-pop""]","[""und""]",,Attack on Titan Season 3,685946,,,,spotify_popularity,71.0,score_0_100,,,,17.75,4GNMgGyZcgnE4nEdYFWJGn,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""exact_title_artist"",""anilist_id"":99147,""mal_id"":35760,""anime_popularity_rank"":16,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/shingeki_no_kyojin_season_3"",""catalog_sources"":""spotify_114k|spotify_600k_historical""}"
17,Peace Sign,Kenshi Yonezu,[],,,,[],"[""und""]",,My Hero Academia Season 2,655058,,,,anime_popularity_proxy,655058.0,anilist_users,,,,,,,,https://anilist.co/,2026-09-12,"No trustworthy song-level listen/view count found; AniList anime popularity is explicitly a proxy, not song listens.","{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""theme_order_fallback"",""anilist_id"":21856,""mal_id"":33486,""anime_popularity_rank"":17,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/boku_no_hero_academia_2nd_season""}"
18,Boku no Sensou,Shinsei Kamattechan,[],,2021-02-22,2021,"[""alt-rock"",""alternative"",""j-rock""]","[""und""]",,Attack on Titan Final Season,642336,,,,spotify_popularity,75.0,score_0_100,,,,18.75,3KhwEuqLNjHfsKaBDo1yVh,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""exact_title_artist"",""anilist_id"":110277,""mal_id"":40028,""anime_popularity_rank"":18,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/shingeki_no_kyojin_the_final_season"",""catalog_sources"":""spotify_114k|spotify_600k_historical""}"
19,Touch off,UVERworld,[],UNSER,,2019,"[""anime"",""j-pop"",""j-rock""]","[""und""]",,The Promised Neverland,632936,,,,spotify_popularity,63.0,score_0_100,,,,15.75,7CSTVNXkW2AbmNktlP1hi2,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""exact_title_artist"",""anilist_id"":101759,""mal_id"":37779,""anime_popularity_rank"":19,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/yakusoku_no_neverland"",""catalog_sources"":""spotify_114k|spotify_600k_historical""}"
20,KICK BACK,Kenshi Yonezu,[],KICK BACK,10/12/2022,2022,"[""anime"",""j-pop""]","[""und""]",,Chainsaw Man,631969,,,,spotify_streams_snapshot,360816226.0,streams,360816226,Spotify,,58.414261927005455,3khEEPRyBeOUabbmOPJzAG,,JPU902203702,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-09-12,Metric snapshot/date label: 2024.,"{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""exact_title_artist"",""anilist_id"":127230,""mal_id"":44511,""anime_popularity_rank"":20,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/chainsaw_man"",""metric_snapshot_date"":""2024"",""streams_is_cumulative"":true,""catalog_sources"":""spotify_114k|spotify_2024_crossplatform|spotify_top10000_2023""}"
